Nama Folder,Nama File,Link
Mobius,Mobius_UR.mp4,https://drive.google.com/file/d/1dYRIRqft3T2PFbiZYmdfD2MkwgHaV1ff/view?usp=drivesdk
Medea,Screenrecorder-2024-10-24-05-34-16-0.mov,https://drive.google.com/file/d/1MEmflOg4RFd7zx98EHjLZ2GURhkdHEEv/view?usp=drivesdk
Medea,Medea_Animation_Short.mp4,https://drive.google.com/file/d/1FRJPTTzUtPDOafrIWEN4D_Ou1UbhNig4/view?usp=drivesdk
Imagawa Yoshimoto,Yoshimoto_UR_Extended_Compressed.mp4,https://drive.google.com/file/d/1Ceoit3Tdd4iWX89ePLempl9JnC9p2bkx/view?usp=drivesdk
Iori Moe,UR_Iori_Animation_Short.mp4,https://drive.google.com/file/d/15da2YQKQ3YhG6HVbqr1jGyG3zo87lL2t/view?usp=drivesdk
Jing Ke,RPReplay_Final1722307113.mov,https://drive.google.com/file/d/1I3USEC5DxBruF11f55drN2E9-Tklz92l/view?usp=drivesdk
Jing Ke,UR_Jing_Ke_Animation_Short.mp4,https://drive.google.com/file/d/1Xdj3aRGKhko0Du6t8futUD4mjL9GBDlY/view?usp=drivesdk
Izanami,SSR_Izanami_Animation.mp4,https://drive.google.com/file/d/1z-Xf46tp7Io3OukTXNOxRHHLyiEp6DSS/view?usp=drivesdk
Izanami,UR_Izanami_Animation.mp4,https://drive.google.com/file/d/1OEtBVMFC5GdIXRMVOHGL5ply7wCPqdu0/view?usp=drivesdk
Isis,Isis_UR_Animation_Short.mp4,https://drive.google.com/file/d/1H-Mmajais23C2kCvvhbRN6NSe4JyVIkm/view?usp=drivesdk
Kasumi,Kasumi.mp4,https://drive.google.com/file/d/1BNhtZxhGASYMgVvKLBZ-Jg_sapslVY9q/view?usp=drivesdk
Loki,Loki_UR_Compressed.mp4,https://drive.google.com/file/d/1UnBjJ9pZRIeaWsD49g6fvyOcp3O67PIS/view?usp=drivesdk
Izumo no Okuni,Izumo_UR_Animation_Short.mp4,https://drive.google.com/file/d/1OfX4kq5O-gXWFrb10LxRDeyHnvcsHMsJ/view?usp=drivesdk
Kong Ming,RPReplay_Final1722306504.mov,https://drive.google.com/file/d/1a58OdhqJSFYTlMOsSQjTtCDPcFcrs_vf/view?usp=drivesdk
Kong Ming,Kong_UR_Animation_Extended.mov,https://drive.google.com/file/d/1xALtKTiS0MPw_c1jMHqWZA7xb6Rmb89v/view?usp=drivesdk
Huang Zhong,Huang_Zhong_Extended_Animation_Compressed.mp4,https://drive.google.com/file/d/1JYIeGwYDXy10F8Z6dPL-GIBWkdVbSH-X/view?usp=drivesdk
Horus,Horus_Short_Animation.mp4,https://drive.google.com/file/d/1E4xl5QQHD_slRQ8rHPNcJpQUMBBfDhaB/view?usp=drivesdk
Helen,Helen_UR_Extended_Animation.mp4,https://drive.google.com/file/d/1T12CDclB_N7Jfz2MrL7Xf9jVmu3MnkY-/view?usp=drivesdk
Heimdall,Heimdall_Short_Animation.mp4,https://drive.google.com/file/d/114CPkWf17t0nQ131-SJimLXIAw8a3rxL/view?usp=drivesdk
Freyr,video2.mov,https://drive.google.com/file/d/1MGN3f83-kHm0H0r5r3AruRtg9xdq6RmY/view?usp=drivesdk
Hercules,Hercules_UR_Extended_Animation.mp4,https://drive.google.com/file/d/1V1KekVHB4YgPDQQ5Of8BWntfSVAEMqRW/view?usp=drivesdk
Hannibal,Hannibal_UR_Better_Quality_Short.mp4,https://drive.google.com/file/d/15OKGQPZwfAmV-xo62cAihIRToHQXB0D0/view?usp=drivesdk
Honda Tadakatsu,MR_Honda.mp4,https://drive.google.com/file/d/16EmXNzd6YhL-m8lpTRwXZnbQ6X3DX1U8/view?usp=drivesdk
Honda Tadakatsu,RPReplay_Final1722306870.mov,https://drive.google.com/file/d/1kpH4Yw5k7OZI-G6EczzjO9wLGL_xUvHL/view?usp=drivesdk
Honda Tadakatsu,UR_Honda_Short_Animation.mp4,https://drive.google.com/file/d/1Tzht6Zph32XzMnndQycZWI7sAGRI6EEK/view?usp=drivesdk
Himiko,Himiko_Extended_Animation.mov,https://drive.google.com/file/d/1i32C3SYj-qzeyrye89LuHQMAB7QAsvqM/view?usp=drivesdk
Hattori Hanzo,UR_Hanzo_Short_Animation.mp4,https://drive.google.com/file/d/1idpnqRtdF_52zdGHwbElrIL5jKiw3Xoq/view?usp=drivesdk
Hermes,Hermes_UR_Animation_Extended_Compressed.mp4,https://drive.google.com/file/d/1u1-wuyQV7uE3H9uGqUH6xXPJU4IDuia1/view?usp=drivesdk
Don Quixote,Don_UR_Animation.mp4,https://drive.google.com/file/d/19MR1RUxVJgoQlq84Xr-yyXb_UcwsMWwp/view?usp=drivesdk
Enako,Enako_Animation_Short.mp4,https://drive.google.com/file/d/1-jBk1NuvAosxHkE3E3AcKwAvhLYEnj9m/view?usp=drivesdk
Date Masamune,Date_UR_Animation_Short.mp4,https://drive.google.com/file/d/1p_nnMK6XYyTHza-hO1y7vDKfZL_tnCl7/view?usp=drivesdk
Da Vinci,Da_Vinci_Animation_Short.mp4,https://drive.google.com/file/d/1tbXHQ4-huoUxy_Pw8EEiSlP8HDQuXJqw/view?usp=drivesdk
Da Qiao & Xiao Qiao,Twins_Paid_Skin_Animation_Short.mp4,https://drive.google.com/file/d/1Z0ahsGX9uDwmhK44uVqVZOi3nJdyCMC1/view?usp=drivesdk
Da Qiao & Xiao Qiao,DaQiao__XiaoQiao_UR_Extended_Animation.mp4,https://drive.google.com/file/d/1GI9GGqFFdTnV64TEbNO02Qmjk2krkiVG/view?usp=drivesdk
Dante,Dante_UR_Animation.mp4,https://drive.google.com/file/d/1MGGcWveY1kgaP8FDrpV4YX5bKuJxSj91/view?usp=drivesdk
Copernicus,MR_Copernicus.mp4,https://drive.google.com/file/d/1VhA8SeTDSL7ZB-S4kfnfuZBwnxyHSxWj/view?usp=drivesdk
Copernicus,Copernicus_UR.mp4,https://drive.google.com/file/d/1MvxMz0ckMd2926r86TouwlVdZJIZKCLN/view?usp=drivesdk
Daji,Daji_UR_Animation_Short.mp4,https://drive.google.com/file/d/1KVIShF6WI6_jFEvwgAaNoTS9kDEO_WnB/view?usp=drivesdk
Daphne,Daphne_Short_Animation_Compressed.mp4,https://drive.google.com/file/d/1Gii7YmJjhVyIKF-ufN3gq6ZcHdKBInuW/view?usp=drivesdk
Daphne,Daphne_Extended_Short_Animation_Semi_Blurry.mp4,https://drive.google.com/file/d/1E4OyZBIc2VQB6jhvKUDho1XYl3TtSbTU/view?usp=drivesdk
Dracula,Screen_Recording_20241117_174037_Idle_Huntress_4835.mov,https://drive.google.com/file/d/1AcEL1BeGNOGH917P_zGwRqlbUSBSdEA4/view?usp=drivesdk
Dracula,Dracula_Extended_Animation.mov,https://drive.google.com/file/d/1lAAgDd9jKpswBqlWqd0s1q4V_vr11ymS/view?usp=drivesdk
Barbatos,RPReplay_Final1712156365.mov,https://drive.google.com/file/d/1qEEujoVD72G1vtHi0UrE93dOLkYvXjdo/view?usp=drivesdk
Ashikaga Yoshiteru,Ashikaga_Animation_Short.mp4,https://drive.google.com/file/d/18G465eaQocgezQCCNyh8jbqtOHiHJH2t/view?usp=drivesdk
Carmen,Carmen_Better_Animation_Short.mp4,https://drive.google.com/file/d/1DBtGVXGWzphBBf7tKS_bKHlLPEPD-KLP/view?usp=drivesdk
Arthur,Arthur_Animation_Short.mp4,https://drive.google.com/file/d/13DvTA9inelEEgWPO-o-vrZ83i91kle4I/view?usp=drivesdk
Charlemagne,Charlemagne_UR_Animation_Short.mp4,https://drive.google.com/file/d/1J8Z_1s_CjYwy6ZuE-Y_-u3JZtdraCyKw/view?usp=drivesdk
Caesar,Caesar_Animation_Short_Compressed.mp4,https://drive.google.com/file/d/1Tjpy9ffS_qWLDSd3U00m4jA9y-mw18Z8/view?usp=drivesdk
Cleopatra,Cleo_Extended_Animation.mov,https://drive.google.com/file/d/1TKpKZzsJrL7oYrxs6aJiA4btOOZpLtqy/view?usp=drivesdk
Catherine,UR_Catherine_Animation_Short.mp4,https://drive.google.com/file/d/1fLIXGFF6X0OJncsBD0dIxoyPZsd22a16/view?usp=drivesdk
Attila,Attila_Short_Animation.mp4,https://drive.google.com/file/d/1a4nXW9tmg_JyZYltkX1SqVrXN039XvBt/view?usp=drivesdk
Beethoven,Beethoven_UR_Animation_Short.mp4,https://drive.google.com/file/d/1fMDzs0tXs5c9ydqQ87wOMsB2HWWRjPwj/view?usp=drivesdk
Zhang Fei,Zhang_Fei_Animation_Compressed.mp4,https://drive.google.com/file/d/1A4T5G2xYeDJ11itWZ1n2Pv9tbbjjk-bs/view?usp=drivesdk
[Christmas] Iori Moe,UR_Light_Iori_Short_Animation.mp4,https://drive.google.com/file/d/1M7Sdu7ho7Pqm31iCADgs1QN60RIQ5isi/view?usp=drivesdk
Zhao Yun,Zhao_Yun_Short_Animation_compressed.mp4,https://drive.google.com/file/d/14Qf4r8aVtqkYyUtRJyS9zNUtnMTU1c8t/view?usp=drivesdk
Ares,Ares_UR_Animation_Short.mp4,https://drive.google.com/file/d/1ddC0uHfYUTt5p9scyPw1bCdsktafLJGx/view?usp=drivesdk
Achilles,video1.mov,https://drive.google.com/file/d/1QMi1j8DC2hGpdZGc5V9lptNfYeo-uehN/view?usp=drivesdk
Aphrodite,Aphrodite.mp4,https://drive.google.com/file/d/1FkZ7SJKOQj5UZhH_PoJsOIEiB4g0f6W2/view?usp=drivesdk
Zhou Yu,RPReplay_Final1722306928.mov,https://drive.google.com/file/d/1CNvfp-GzoOIaNxAbDlwjhfrhmPxUV-xb/view?usp=drivesdk
Zhou Yu,Zhou_Yu_Intro_Animation_Short.mp4,https://drive.google.com/file/d/1qr5CB5hbly3ZvdkB2i1tj4FnqgUybQcQ/view?usp=drivesdk
Abe no Seimei,Abe_no_Seimei_UR_2_Animation.mp4,https://drive.google.com/file/d/19_OfaSL3QmUEzX0jo-BwE1cYWQtC-u1Q/view?usp=drivesdk
Abe no Seimei,ABE_UR_Animation_Short.mp4,https://drive.google.com/file/d/1MUAH67MNww0PRBCCneLV45bf6HlTbTaB/view?usp=drivesdk
[Swimsuit] Iori Moe,UR_ANIMATION_SHORT.mp4,https://drive.google.com/file/d/17idSwrKoC-PMP1TsEBUbm2Ykui2ecASI/view?usp=drivesdk
Zhen Ji,Zhen_Ji_Ur_Short_Animation_Better.mp4,https://drive.google.com/file/d/1NZMDyvYhNiEonP3gn3PQv15E9qszQJJh/view?usp=drivesdk
Venus,Venus_Extended_Animation.mov,https://drive.google.com/file/d/1443YmjC6jlE0JqMVTzA4FlMyN2W8SwrV/view?usp=drivesdk
Taira no Kiyomori,Taira_Extended_Animation.mov,https://drive.google.com/file/d/12L_bHn2CbYfHz_kh5-7Gt1vaE6LMP-WF/view?usp=drivesdk
Thor,MR_Thor.mp4,https://drive.google.com/file/d/11RbWLeQxRgoyJvUsG5NiHP4SLcgULrh7/view?usp=drivesdk
Thor,Thor_UR_Animation_Short_with_Sound.mp4,https://drive.google.com/file/d/1BXW6f2eK3OFDiahun9_agUTBO-x5J_Qb/view?usp=drivesdk
Solomon,Solomon_UR.mp4,https://drive.google.com/file/d/18kVvnKZB6qdUb2PG0Q_62Dpg9Rz0VYF-/view?usp=drivesdk
Yoshiaki Mogami,Yoshiaki_UR_Animation_Short.mov,https://drive.google.com/file/d/1lLSob5q_AFqj10WAyxgHIQkQciqK3E68/view?usp=drivesdk
Zeus,Zeus_Short_Animation_Compressed.mp4,https://drive.google.com/file/d/13k5CRNSKBduO_J1wuj7W4ZJz593d9jO6/view?usp=drivesdk
Uesugi Kenshin,RPReplay_Final1722307322.mov,https://drive.google.com/file/d/1bMS2hkx7dgkOkdYCpJkgAOshOrUbaDDL/view?usp=drivesdk
Uesugi Kenshin,Kenshin_UR_Animation_Short.mp4,https://drive.google.com/file/d/13oa1Gz_c0bKBTaQ9esa6pRgimDQEB-mB/view?usp=drivesdk
Tokugawa Ieyasu,Tokugawa_Leyasu.mp4,https://drive.google.com/file/d/1-CZ-4h_CX7P7ezYaUqp7ui2lmwYBI2Ym/view?usp=drivesdk
Takeda Shingen,RPReplay_Final1722307021.mov,https://drive.google.com/file/d/1OsTXEG4ihq28ugEv8SJdGnHuZaD2wCfS/view?usp=drivesdk
Takeda Shingen,Shingen_Takeda_Animation_Short.mp4,https://drive.google.com/file/d/12KPUPc3ZhV41QkQhDaEP8INQZVu3tOf3/view?usp=drivesdk
Takenaka Shigeharu,RPReplay_Final1722306784.mov,https://drive.google.com/file/d/1v-b4OPlZtCdO7SMDGV-ngojq-87dIk0T/view?usp=drivesdk
Takenaka Shigeharu,Takenaka_UR_Animation_Short_Better_Compressed.mp4,https://drive.google.com/file/d/18HJMDt4EjNh4hTRMxIeOnPzb2e7i18Na/view?usp=drivesdk
